MOIS,CLIENT_ID,pret_anterieur,compte_commercial,carte_MC,NSF,PH_autre_FI,sphere_epargne,sphere_financement,sphere_transaction,nb_produit,relation_BNC,vol_MC,vol_epargne,vol_financement,vol_transaction,TEF,mono_produit,PH
31Aug2018 0:00:00,00000000000276,0,0,0,0,1,0,0,0,1,14,,,,,0,1,0
31Oct2017 0:00:00,00000000000335,0,0,1,0,0,0,0,1,1,12,19170,,,1480,1,1,0
31May2018 0:00:00,00000000000383,0,0,0,0,1,0,0,1,1,6,,,,3360,1,1,0
31Jan2018 0:00:00,00000000000392,0,0,0,0,0,0,0,1,1,7,,,,970,1,1,0
31Oct2018 0:00:00,00000000000424,1,0,1,0,1,1,0,1,2,9,21090,218000,,3380,2,0,0
31Oct2018 0:00:00,00000000000463,0,0,0,0,1,1,1,1,3,10,,157000,305000,3780,3,0,0
30Jun2018 0:00:00,00000000000523,0,0,0,0,0,0,0,1,2,0,,,,1950,1,0,0
31Mar2018 0:00:00,00000000000735,0,0,0,0,1,0,0,1,1,0,,,,3600,1,1,0
30Jun2018 0:00:00,00000000000749,0,0,0,0,1,1,0,1,2,7,,71000,,1800,2,0,1
31Oct2018 0:00:00,00000000000811,0,0,1,0,0,1,0,1,2,4,24100,107000,,1830,2,0,0
31Jul2018 0:00:00,00000000000841,0,0,1,0,1,1,1,1,3,8,21950,177000,197000,4490,3,0,0
31Aug2018 0:00:00,00000000000867,0,0,0,0,1,0,0,1,1,11,,,,2720,1,1,0
31Oct2017 0:00:00,00000000001043,0,0,0,0,0,1,0,1,2,9,,113000,,1010,2,0,0
31Dec2017 0:00:00,00000000001127,0,0,1,0,0,0,0,1,1,7,20840,,,2400,1,1,0
31Jul2018 0:00:00,00000000001247,1,0,0,0,1,1,1,0,2,14,,129000,613000,,2,0,0
30Nov2017 0:00:00,00000000001615,0,0,1,0,1,0,0,1,1,14,19450,,,3440,1,1,0
31Dec2017 0:00:00,00000000001713,1,0,0,0,1,0,0,1,1,6,,,,2290,1,1,0
31Dec2017 0:00:00,00000000001999,0,0,0,0,0,0,1,1,2,12,,,533000,1110,2,0,0
31Dec2017 0:00:00,00000000002125,0,0,0,0,1,1,0,1,4,11,,97000,,2360,2,0,0
31Mar2018 0:00:00,00000000002385,0,0,0,0,1,0,0,1,1,4,,,,3060,1,1,0
31Oct2018 0:00:00,00000000002477,0,0,1,0,0,0,0,1,1,128,15990,,,2020,1,1,1
30Nov2017 0:00:00,00000000002674,0,0,1,0,0,1,0,1,2,7,20460,91000,,1340,2,0,0
31Oct2018 0:00:00,00000000003087,0,0,0,0,0,0,0,1,4,16,,,,560,1,0,0
31Oct2017 0:00:00,00000000003304,0,1,0,0,0,1,0,1,2,18,,67000,,1100,2,0,0
30Sep2018 0:00:00,00000000003313,0,0,0,1,1,0,0,1,1,6,,,,2630,1,1,0
31Mar2018 0:00:00,00000000003591,0,0,0,0,1,0,1,1,2,13,,,539000,1910,2,0,0
31Aug2018 0:00:00,00000000003605,0,0,1,0,1,0,0,1,1,14,18160,,,550,1,1,0
28Feb2018 0:00:00,00000000003923,0,1,0,0,0,0,0,0,1,8,,,,,0,1,0
