MOIS,CLIENT_ID,homme,courriel,Langue_Francais,naissance,logement,profession,nb_enfant,ville,education,age,revenu,revenu_foyer
31Aug2018 0:00:00,00000000000276,1,1,1,1,1,1,4,5,1,36,71000,153000
31Oct2017 0:00:00,00000000000335,0,1,0,0,0,3,0,1,3,53,67000,67000
31May2018 0:00:00,00000000000383,1,1,1,0,0,3,2,6,2,42,32000,53000
31Jan2018 0:00:00,00000000000392,1,1,1,1,0,2,4,5,5,68,70000,229000
31Oct2018 0:00:00,00000000000424,1,1,1,1,0,2,1,6,1,75,59000,145000
31Oct2018 0:00:00,00000000000463,1,1,1,0,0,4,0,1,5,45,24000,70000
30Jun2018 0:00:00,00000000000523,1,0,0,0,0,1,0,6,1,67,53000,96000
31Mar2018 0:00:00,00000000000735,0,1,0,0,0,2,0,3,4,55,31000,31000
30Jun2018 0:00:00,00000000000749,0,0,0,0,0,2,0,4,3,43,52000,304000
31Oct2018 0:00:00,00000000000811,1,1,0,0,0,4,0,4,4,59,45000,45000
31Jul2018 0:00:00,00000000000841,1,1,0,0,0,6,0,1,1,48,39000,254000
31Aug2018 0:00:00,00000000000867,1,1,1,0,0,3,0,4,3,62,80000,80000
31Oct2017 0:00:00,00000000001043,1,1,1,1,0,3,2,5,3,43,72000,186000
31Dec2017 0:00:00,00000000001127,1,0,0,0,1,4,0,6,4,56,15000,177000
31Jul2018 0:00:00,00000000001247,0,1,0,0,0,4,0,5,1,26,53000,53000
30Nov2017 0:00:00,00000000001615,1,1,0,0,0,5,1,4,1,40,48000,74000
31Dec2017 0:00:00,00000000001713,1,0,1,0,0,3,0,5,5,70,50000,118000
31Dec2017 0:00:00,00000000001999,0,1,0,1,1,3,4,6,5,40,68000,107000
31Dec2017 0:00:00,00000000002125,1,1,1,1,0,3,1,5,2,41,75000,75000
31Mar2018 0:00:00,00000000002385,0,0,0,1,1,2,3,6,2,44,67000,149000
31Oct2018 0:00:00,00000000002477,1,1,0,0,1,3,0,2,4,43,44000,273000
30Nov2017 0:00:00,00000000002674,1,1,1,0,0,3,0,5,5,70,60000,134000
31Oct2018 0:00:00,00000000003087,1,1,1,0,0,6,1,1,3,51,104000,151000
31Oct2017 0:00:00,00000000003304,0,0,1,0,0,1,0,4,1,56,13000,48000
30Sep2018 0:00:00,00000000003313,0,0,1,1,0,2,2,1,1,69,62000,147000
31Mar2018 0:00:00,00000000003591,1,0,0,0,0,1,0,2,1,52,61000,104000
