MOIS,CLIENT_ID,taux,GDP
31Aug2018 0:00:00,00000000000276,2.87,0.94
31Oct2017 0:00:00,00000000000335,2.83,0.1
31May2018 0:00:00,00000000000383,2.32,0.76
31Jan2018 0:00:00,00000000000392,2.59,-0.38
31Oct2018 0:00:00,00000000000424,2.57,-0.84
31Oct2018 0:00:00,00000000000463,2.36,-1.35
30Jun2018 0:00:00,00000000000523,2.34,-1.36
31Mar2018 0:00:00,00000000000735,2.47,0.02
30Jun2018 0:00:00,00000000000749,3.41,0.98
31Oct2018 0:00:00,00000000000811,2.42,-0.02
31Jul2018 0:00:00,00000000000841,2.4,-1.7
31Aug2018 0:00:00,00000000000867,2.54,0.05
31Oct2017 0:00:00,00000000001043,2.25,1.88
31Dec2017 0:00:00,00000000001127,2.6,-0.6
31Jul2018 0:00:00,00000000001247,2.3,-1.31
30Nov2017 0:00:00,00000000001615,2.51,-0.53
31Dec2017 0:00:00,00000000001713,3.44,0.09
31Dec2017 0:00:00,00000000001999,2.51,0.63
31Dec2017 0:00:00,00000000002125,2.38,-0.05
31Mar2018 0:00:00,00000000002385,2.73,-1.27
31Oct2018 0:00:00,00000000002477,2.98,-2.13
30Nov2017 0:00:00,00000000002674,2.62,-0.16
31Oct2018 0:00:00,00000000003087,2.29,2.72
31Oct2017 0:00:00,00000000003304,2.34,0.69
30Sep2018 0:00:00,00000000003313,2.59,2.75
31Mar2018 0:00:00,00000000003591,2.95,0.33
31Aug2018 0:00:00,00000000003605,2.43,-0.35
28Feb2018 0:00:00,00000000003923,2.51,-0.35
30Jun2018 0:00:00,00000000003946,2.6,0.04
30Jun2018 0:00:00,00000000004055,2.33,-0.98
30Jun2018 0:00:00,00000000004143,2.61,-0.75
31Dec2017 0:00:00,00000000004187,2.81,-1.66
31Aug2018 0:00:00,00000000004255,2.67,0.98
31Dec2017 0:00:00,00000000004256,2.36,-1.95
31Jan2018 0:00:00,00000000004316,2.28,0.99
31Jul2018 0:00:00,00000000004330,2.81,1.86
31Jan2018 0:00:00,00000000004393,2.42,1.63
31Jul2018 0:00:00,00000000004400,2.84,-0.99
30Nov2017 0:00:00,00000000004419,2.59,-1.13
30Sep2018 0:00:00,00000000004601,3.19,-0.61
31Mar2018 0:00:00,00000000004759,2.62,-1.15
31Mar2018 0:00:00,00000000004762,2.46,-0.16
31Aug2018 0:00:00,00000000004771,2.61,0.49
30Nov2017 0:00:00,00000000004809,3.29,-0.49
28Feb2018 0:00:00,00000000004811,2.25,-0.96
31May2018 0:00:00,00000000004857,2.29,-0.72
30Sep2018 0:00:00,00000000004874,2.49,-0.03
28Feb2018 0:00:00,00000000004943,2.45,0.63
31Jul2018 0:00:00,00000000004966,2.57,-1.9
30Jun2018 0:00:00,00000000005258,2.96,0.47
31Dec2017 0:00:00,00000000005534,2.86,0.02
30Apr2018 0:00:00,00000000005709,2.78,0.24
30Sep2018 0:00:00,00000000005716,3.13,-0.86
31Oct2017 0:00:00,00000000005870,2.66,-1.13
31Mar2018 0:00:00,00000000005888,2.55,-0.71
28Feb2018 0:00:00,00000000005895,2.53,0.45
31May2018 0:00:00,00000000005938,2.36,-0.18
31May2018 0:00:00,00000000006034,3.07,0.46
31Dec2017 0:00:00,00000000006115,3.45,-0.65
30Jun2018 0:00:00,00000000006370,2.44,0.06
31Oct2018 0:00:00,00000000006909,2.25,0.21
31Oct2017 0:00:00,00000000006979,3.04,-0.2
31Dec2017 0:00:00,00000000007096,2.94,-0.06
30Apr2018 0:00:00,00000000007166,2.83,-0.93
30Apr2018 0:00:00,00000000007177,2.55,0.28
28Feb2018 0:00:00,00000000007254,2.36,0.5
31Oct2018 0:00:00,00000000007398,2.38,0.38
30Sep2018 0:00:00,00000000007409,2.42,1.92
30Jun2018 0:00:00,00000000007446,2.69,-0.97
31Oct2017 0:00:00,00000000007532,2.5,0.37
31Oct2017 0:00:00,00000000007615,2.76,0.55
