MOIS,CLIENT_ID,web_taux,web_mls,vol_taux,vol_mls
31Aug2018 0:00:00,00000000000276,0,0,0,0
31Oct2017 0:00:00,00000000000335,0,0,0,0
31May2018 0:00:00,00000000000383,0,0,0,0
31Jan2018 0:00:00,00000000000392,0,0,0,0
31Oct2018 0:00:00,00000000000424,0,0,0,0
31Oct2018 0:00:00,00000000000463,1,0,4,0
30Jun2018 0:00:00,00000000000523,0,0,0,0
31Mar2018 0:00:00,00000000000735,0,1,0,45
30Jun2018 0:00:00,00000000000749,0,0,0,0
31Oct2018 0:00:00,00000000000811,0,1,0,40
31Jul2018 0:00:00,00000000000841,0,0,0,0
31Aug2018 0:00:00,00000000000867,1,1,32,21
31Oct2017 0:00:00,00000000001043,0,1,0,23
31Dec2017 0:00:00,00000000001127,0,0,0,0
31Jul2018 0:00:00,00000000001247,0,1,0,3
30Nov2017 0:00:00,00000000001615,0,0,0,0
31Dec2017 0:00:00,00000000001713,1,0,35,0
31Dec2017 0:00:00,00000000001999,0,0,0,0
31Dec2017 0:00:00,00000000002125,1,0,4,0
31Mar2018 0:00:00,00000000002385,0,0,0,0
31Oct2018 0:00:00,00000000002477,0,1,0,45
30Nov2017 0:00:00,00000000002674,1,0,13,0
31Oct2018 0:00:00,00000000003087,0,0,0,0
31Oct2017 0:00:00,00000000003304,0,0,0,0
30Sep2018 0:00:00,00000000003313,0,1,0,45
31Mar2018 0:00:00,00000000003591,0,1,0,6
31Aug2018 0:00:00,00000000003605,0,1,0,22
28Feb2018 0:00:00,00000000003923,0,1,0,21
30Jun2018 0:00:00,00000000003946,0,0,0,0
30Jun2018 0:00:00,00000000004055,0,1,0,12
30Jun2018 0:00:00,00000000004143,0,0,0,0
31Dec2017 0:00:00,00000000004187,0,0,0,0
31Aug2018 0:00:00,00000000004255,0,0,0,0
31Dec2017 0:00:00,00000000004256,0,0,0,0
31Jan2018 0:00:00,00000000004316,1,1,4,21
31Jul2018 0:00:00,00000000004330,0,0,0,0
31Jan2018 0:00:00,00000000004393,1,0,31,0
31Jul2018 0:00:00,00000000004400,0,1,0,45
30Nov2017 0:00:00,00000000004419,0,0,0,0
30Sep2018 0:00:00,00000000004601,1,0,55,0
31Mar2018 0:00:00,00000000004759,0,0,0,0
31Mar2018 0:00:00,00000000004762,0,1,0,31
31Aug2018 0:00:00,00000000004771,0,1,0,45
30Nov2017 0:00:00,00000000004809,1,0,4,0
28Feb2018 0:00:00,00000000004811,0,0,0,0
31May2018 0:00:00,00000000004857,1,1,24,45
30Sep2018 0:00:00,00000000004874,0,0,0,0
28Feb2018 0:00:00,00000000004943,0,1,0,26
31Jul2018 0:00:00,00000000004966,0,0,0,0
30Jun2018 0:00:00,00000000005258,0,1,0,18
31Dec2017 0:00:00,00000000005534,0,1,0,6
30Apr2018 0:00:00,00000000005709,0,0,0,0
30Sep2018 0:00:00,00000000005716,0,0,0,0
31Oct2017 0:00:00,00000000005870,0,0,0,0
31Mar2018 0:00:00,00000000005888,0,0,0,0
